age,marital,education,housing,duration,bankrupt
44,single,basic.4y,yes,177,0
49,married,basic.9y,no,1467,1
42,married,basic.9y,yes,673,1
59,married,professional.course,no,139,1
57,divorced,unknown,yes,518,0
40,married,basic.9y,no,46,1
56,married,unknown,yes,364,1
39,divorced,high.school,yes,52,0
40,married,unknown,no,114,0
30,single,unknown,yes,408,0
55,married,basic.9y,yes,212,0
41,divorced,basic.4y,yes,1575,1
44,married,basic.9y,yes,172,0
45,married,high.school,yes,79,1
51,single,basic.6y,no,303,0
39,married,high.school,yes,356,0
55,married,professional.course,yes,135,1
37,married,high.school,yes,226,0
42,married,basic.6y,no,266,1
45,married,professional.course,yes,221,0
42,single,university.degree,no,192,1
36,married,university.degree,yes,233,0
35,single,university.degree,no,209,0
50,married,basic.9y,yes,353,1
37,married,university.degree,no,172,0
45,married,basic.9y,yes,461,1
54,divorced,basic.4y,no,208,0
37,married,university.degree,yes,351,0
45,married,high.school,yes,787,1
40,married,basic.9y,no,178,0
35,single,high.school,yes,338,0
30,single,university.degree,yes,140,1
41,married,basic.9y,no,62,1
46,divorced,university.degree,yes,115,1
41,married,basic.6y,no,529,1
45,married,university.degree,yes,292,0
39,married,university.degree,yes,192,1
57,married,university.degree,no,212,0
38,single,professional.course,no,160,1
41,married,professional.course,no,412,1
56,married,basic.4y,no,261,0
46,married,university.degree,no,103,1
51,married,basic.6y,yes,396,1
54,married,unknown,no,400,0
43,single,university.degree,yes,240,0
53,single,professional.course,no,179,1
24,single,professional.course,yes,380,0
46,married,unknown,no,348,1
42,married,university.degree,no,426,1
41,married,basic.6y,no,200,0
42,married,basic.4y,no,541,0
37,married,university.degree,no,232,0
44,married,high.school,yes,107,1
58,married,basic.4y,no,849,1
43,single,professional.course,yes,186,0
38,married,high.school,yes,506,1
34,married,high.school,yes,188,0
39,single,unknown,no,168,0
56,married,basic.9y,no,379,0
42,married,university.degree,no,262,0
42,married,basic.6y,yes,164,1
56,married,professional.course,yes,621,0
38,married,university.degree,no,206,0
35,married,high.school,yes,216,0
35,married,high.school,no,116,0
35,married,university.degree,yes,180,0
56,married,unknown,no,204,0
45,married,basic.4y,no,164,0
53,divorced,university.degree,no,287,1
55,married,university.degree,no,349,1
42,married,unknown,yes,293,0
25,single,high.school,yes,50,0
56,married,basic.4y,no,100,0
50,married,basic.4y,yes,193,1
43,married,unknown,no,277,0
31,divorced,high.school,no,246,0
56,married,basic.9y,yes,158,1
37,married,high.school,no,74,0
48,married,high.school,no,357,0
47,married,university.degree,yes,176,1
57,married,university.degree,yes,616,0
43,divorced,high.school,no,974,1
37,married,basic.6y,no,85,0
40,married,university.degree,yes,163,0
40,married,university.degree,no,61,1
36,married,high.school,no,427,0
36,single,basic.6y,yes,210,0
45,divorced,high.school,no,166,0
39,married,basic.9y,no,374,1
41,single,basic.9y,no,369,0
34,married,high.school,no,365,0
38,divorced,high.school,yes,73,1
35,divorced,high.school,yes,194,1
34,married,university.degree,no,165,1
39,married,basic.4y,no,69,0
49,married,basic.4y,no,252,1
39,divorced,university.degree,no,207,0
56,married,basic.4y,yes,137,1
24,married,high.school,no,61,1
42,single,professional.course,no,22,1
38,single,basic.9y,yes,179,1
40,married,basic.9y,no,168,0
58,married,university.degree,no,132,0
54,married,unknown,yes,229,0
35,single,university.degree,yes,217,0
57,married,unknown,no,211,0
37,married,university.degree,no,337,0
39,married,basic.6y,yes,297,1
35,married,basic.6y,yes,146,1
49,divorced,high.school,no,439,0
41,single,high.school,yes,181,0
57,married,unknown,no,611,1
52,divorced,university.degree,no,247,1
56,divorced,unknown,no,114,1
48,married,basic.4y,yes,717,0
32,married,university.degree,yes,175,0
42,married,basic.4y,yes,528,0
60,married,high.school,no,253,1
32,married,high.school,yes,314,0
30,married,high.school,no,38,0
43,married,high.school,no,181,1
35,married,high.school,yes,123,1
35,single,university.degree,no,218,0
35,married,university.degree,yes,355,1
39,married,university.degree,yes,193,0
33,married,unknown,yes,273,0
42,married,university.degree,no,64,0
37,married,high.school,no,63,0
55,married,basic.4y,yes,262,1
34,married,high.school,yes,125,0
49,married,basic.4y,no,55,0
38,married,high.school,no,165,1
42,married,basic.9y,no,559,1
34,married,high.school,no,228,1
56,married,basic.4y,yes,102,0
33,married,basic.9y,no,545,1
36,single,basic.9y,yes,256,1
49,married,university.degree,yes,1042,1
46,married,basic.4y,yes,288,0
55,married,basic.4y,no,269,0
49,married,university.degree,yes,212,0
54,married,high.school,no,130,1
37,married,university.degree,yes,214,0
59,married,unknown,yes,93,1
34,married,basic.6y,yes,300,0
54,single,university.degree,no,255,1
43,married,unknown,yes,325,1
51,married,basic.6y,no,250,1
43,married,high.school,no,93,0
33,married,high.school,yes,337,0
32,married,basic.9y,yes,262,1
37,married,high.school,yes,149,1
40,married,basic.6y,no,151,1
34,single,basic.9y,no,289,0
37,single,basic.9y,yes,163,0
38,married,basic.9y,yes,170,0
41,married,professional.course,yes,579,0
25,single,university.degree,yes,174,0
39,married,professional.course,yes,471,0
